evidence_id,source_artifact,source_row_key,evidence_tier,evidence_scope,narrative_acts,publication_readiness,recommended_use,summary,contract_version,analysis_id,stratum,semester,priority,x,y,coefficient,p_value,verdict,robustness_class,overlap_n,jaccard
semester__scope_vs_pi_line_delta_t3__semester__2025.2,semester_stratified_results,scope_vs_pi_line_delta_t3__semester__2025.2,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_pi_line_delta_t3,semester,2025.2,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,-0.5544826240669376,0.1212991257224558,inconclusive,global_supported_semester_inconclusive,,
semester__scope_vs_pi_line_delta_t3__semester__2026.1,semester_stratified_results,scope_vs_pi_line_delta_t3__semester__2026.1,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_pi_line_delta_t3,semester,2026.1,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,global_supported_semester_inconclusive,,
semester__scope_vs_planning_artifact_activity_t3__global__global,semester_stratified_results,scope_vs_planning_artifact_activity_t3__global__nan,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,support_narrative_claim,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_planning_artifact_activity_t3,global,,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,-0.5831555764121896,0.0286037847926583,supports,global_supported_semester_inconclusive,,
semester__scope_vs_planning_artifact_activity_t3__semester__2025.2,semester_stratified_results,scope_vs_planning_artifact_activity_t3__semester__2025.2,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_planning_artifact_activity_t3,semester,2025.2,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,-0.5247781977776373,0.1468958994862416,inconclusive,global_supported_semester_inconclusive,,
semester__scope_vs_planning_artifact_activity_t3__semester__2026.1,semester_stratified_results,scope_vs_planning_artifact_activity_t3__semester__2026.1,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_planning_artifact_activity_t3,semester,2026.1,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,global_supported_semester_inconclusive,,
semester__scope_vs_planning_rework_t2_t3__global__global,semester_stratified_results,scope_vs_planning_rework_t2_t3__global__nan,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,do_not_generalize,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_planning_rework_t2_t3,global,,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,-0.5207396621025063,0.056231526062027,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_planning_rework_t2_t3__semester__2025.2,semester_stratified_results,scope_vs_planning_rework_t2_t3__semester__2025.2,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_planning_rework_t2_t3,semester,2025.2,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,-0.3977196492840078,0.289117458517315,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_planning_rework_t2_t3__semester__2026.1,semester_stratified_results,scope_vs_planning_rework_t2_t3__semester__2026.1,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_planning_rework_t2_t3,semester,2026.1,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,direction_consistent_inconclusive,,
semester__scope_vs_commits_per_author_t3__global__global,semester_stratified_results,scope_vs_commits_per_author_t3__global__nan,C,semester_stratified_methodological_warning,[3],exploratory_only,support_narrative_claim,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_commits_per_author_t3,global,,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,-0.7284815485795703,0.0031279384351483,supports,global_supported_semester_supported,,
semester__scope_vs_commits_per_author_t3__semester__2025.2,semester_stratified_results,scope_vs_commits_per_author_t3__semester__2025.2,C,semester_stratified_methodological_warning,[3],exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_commits_per_author_t3,semester,2025.2,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,-0.7854963073359155,0.0121154159883211,supports,global_supported_semester_supported,,
semester__scope_vs_commits_per_author_t3__semester__2026.1,semester_stratified_results,scope_vs_commits_per_author_t3__semester__2026.1,C,semester_stratified_methodological_warning,[3],exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_commits_per_author_t3,semester,2026.1,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,global_supported_semester_supported,,
semester__scope_vs_late_instability_index__global__global,semester_stratified_results,scope_vs_late_instability_index__global__nan,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,support_narrative_claim,Global/semester comparison provides contextual evidence.,cross-evidence-priority-matrix-v1,scope_vs_late_instability_index,global,,secondary_support,late_instability_index,scope_applicability_mean_t3,-0.6232378481888233,0.0172566601453534,supports,global_supported_semester_inconclusive,,
semester__scope_vs_late_instability_index__semester__2025.2,semester_stratified_results,scope_vs_late_instability_index__semester__2025.2,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_late_instability_index,semester,2025.2,secondary_support,late_instability_index,scope_applicability_mean_t3,-0.4554678697692702,0.2179382855390245,inconclusive,global_supported_semester_inconclusive,,
semester__scope_vs_late_instability_index__semester__2026.1,semester_stratified_results,scope_vs_late_instability_index__semester__2026.1,C,semester_stratified_methodological_warning,"[2, 3]",exploratory_only,report_methodological_limitation,Semester-stratified result requires contextualized interpretation.,cross-evidence-priority-matrix-v1,scope_vs_late_instability_index,semester,2026.1,secondary_support,late_instability_index,scope_applicability_mean_t3,-0.7071067811865475,0.1816901138162092,inconclusive,global_supported_semester_inconclusive,,
